"country","lifeExp_0","lifeExp_1","delta"
"Oman",37.578,75.64,38.062
"Vietnam",40.412,74.249,33.837
"Indonesia",37.468,70.65,33.182
"Saudi Arabia",39.875,72.777,32.902
"Libya",42.723,73.952,31.229
"Korea, Rep.",47.453,78.623,31.17
"Nicaragua",42.314,72.899,30.585
"West Bank and Gaza",43.16,73.422,30.262
"Yemen, Rep.",32.548,62.698,30.15
"Gambia",30,59.448,29.448
"Egypt",41.893,71.338,29.445
"Jordan",43.158,72.535,29.377
"Tunisia",44.6,73.923,29.323
"Algeria",43.077,72.301,29.224
"China",44,72.961,28.961
"Morocco",42.873,71.164,28.291
"Honduras",41.912,70.198,28.286
"Syria",45.883,74.143,28.26
"Guatemala",42.023,70.259,28.236
"Turkey",43.585,71.777,28.192
"Nepal",36.157,63.785,27.628
"Peru",43.902,71.421,27.519
"India",37.373,64.698,27.325
"Ecuador",48.357,74.994,26.637
"El Salvador",45.262,71.878,26.616
"Bangladesh",37.484,64.062,26.578
"Dominican Republic",45.928,72.235,26.307
"Iran",44.869,70.964,26.095
"Senegal",37.278,63.062,25.784
"Malaysia",48.463,74.241,25.778
"Myanmar",36.319,62.069,25.75
"Mexico",50.789,76.195,25.406
"Bolivia",40.414,65.554,25.14
"Bahrain",50.939,75.635,24.696
"Mongolia",42.244,66.803,24.559
"Comoros",40.715,65.152,24.437
"Philippines",47.752,71.688,23.936
"Chile",54.745,78.553,23.808
"Reunion",52.724,76.442,23.718
"Mauritania",40.543,64.164,23.621
"Haiti",37.579,60.916,23.337
"Madagascar",36.681,59.443,22.762
"Guinea",33.609,56.007,22.398
"Colombia",50.643,72.889,22.246
"Eritrea",35.928,58.04,22.112
"Pakistan",43.436,65.483,22.047
"Kuwait",55.565,77.588,22.023
"Mauritius",50.986,72.801,21.815
"Costa Rica",57.206,78.782,21.576
"Brazil",50.917,72.39,21.473
"Hong Kong, China",60.96,82.208,21.248
"Albania",55.23,76.423,21.193
"Bosnia and Herzegovina",53.82,74.852,21.032
"Mali",33.685,54.467,20.782
"Panama",55.191,75.537,20.346
"Burkina Faso",31.975,52.295,20.32
"Cambodia",39.417,59.723,20.306
"Djibouti",34.812,54.791,19.979
"Sudan",38.635,58.556,19.921
"Taiwan",58.5,78.4,19.9
"Togo",38.596,58.42,19.824
"Thailand",50.848,70.616,19.768
"Gabon",37.003,56.735,19.732
"Singapore",60.396,79.972,19.576
"Japan",63.03,82.603,19.573
"Niger",37.444,56.867,19.423
"Sao Tome and Principe",46.471,65.528,19.057
"Ethiopia",34.078,52.947,18.869
"Cuba",59.421,78.273,18.852
"Venezuela",55.088,73.747,18.659
"Benin",38.223,56.728,18.505
"Portugal",59.82,78.098,18.278
"Korea, Dem. Rep.",50.056,67.297,17.241
"Equatorial Guinea",34.482,51.579,17.097
"Ghana",43.149,60.022,16.873
"Lebanon",55.928,71.993,16.065
"Serbia",57.996,74.002,16.006
"Spain",64.94,80.941,16.001
"Montenegro",59.164,74.543,15.379
"Israel",65.39,80.745,15.355
"Somalia",32.978,48.159,15.181
"Afghanistan",28.801,43.828,15.027
"Sri Lanka",57.593,72.396,14.803
"Italy",65.94,80.546,14.606
"Croatia",61.21,75.748,14.538
"Puerto Rico",64.28,78.746,14.466
"Poland",61.31,75.563,14.253
"Iraq",45.32,59.545,14.225
"Jamaica",58.53,72.567,14.037
"Guinea-Bissau",32.5,46.388,13.888
"Greece",65.86,79.483,13.623
"Bulgaria",59.6,73.005,13.405
"France",67.41,80.657,13.247
"Congo, Rep.",42.111,55.322,13.211
"Austria",66.8,79.829,13.029
"Argentina",62.485,75.32,12.835
"Finland",66.55,79.313,12.763
"Angola",30.015,42.731,12.716
"Chad",38.092,50.651,12.559
"Slovenia",65.57,77.926,12.356
"Sierra Leone",30.331,42.568,12.237
"Australia",69.12,81.235,12.115
"Switzerland",69.62,81.701,12.081
"Malawi",36.256,48.303,12.047
"Ireland",66.91,78.885,11.975
"Cameroon",38.523,50.43,11.907
"Germany",67.5,79.406,11.906
"Canada",68.75,80.653,11.903
"Kenya",42.27,54.11,11.84
"Uganda",39.978,51.542,11.564
"Belgium",68,79.441,11.441
"Romania",61.05,72.476,11.426
"Tanzania",41.215,52.517,11.302
"Namibia",41.725,52.906,11.181
"New Zealand",69.39,80.204,10.814
"Mozambique",31.286,42.082,10.796
"Trinidad and Tobago",59.1,69.819,10.719
"Burundi",39.031,49.58,10.549
"Nigeria",36.324,46.859,10.535
"Uruguay",66.071,76.384,10.313
"Slovak Republic",64.36,74.663,10.303
"United Kingdom",69.18,79.425,10.245
"United States",68.44,78.242,9.80200000000001
"Czech Republic",66.87,76.486,9.616
"Hungary",64.03,73.338,9.30799999999999
"Central African Republic",35.463,44.741,9.278
"Iceland",72.49,81.757,9.26700000000001
"Paraguay",62.649,71.752,9.10299999999999
"Sweden",71.86,80.884,9.024
"Cote d'Ivoire",40.477,48.328,7.85100000000001
"Netherlands",72.13,79.762,7.63200000000001
"Denmark",70.78,78.332,7.55199999999999
"Norway",72.67,80.196,7.526
"Congo, Dem. Rep.",39.143,46.462,7.319
"Liberia",38.48,45.678,7.198
"Rwanda",40,46.242,6.242
"South Africa",45.009,49.339,4.33
"Botswana",47.622,50.728,3.106
"Lesotho",42.138,42.592,0.454000000000001
"Zambia",42.038,42.384,0.346000000000004
"Swaziland",41.407,39.613,-1.794
"Zimbabwe",48.451,43.487,-4.964
